Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType
20142015,RIT,3,@,Canisius,3,OT,,11/14/2014,AH
20142015,Air Force,3,@,(17) Robert Morris,3,OT,,11/14/2014,AH
20142015,St. Lawrence,2,@,(6) Colgate,5,,,11/14/2014,EC
20142015,Clarkson,1,@,Cornell,2,OT,,11/14/2014,EC
20142015,Yale,4,@,Dartmouth,1,,,11/14/2014,EC
20142015,Brown,2,@,Harvard,6,,,11/14/2014,EC
20142015,Princeton,1,@,Rensselaer,3,,,11/14/2014,EC
20142015,(20) Quinnipiac,4,@,(12) Union,3,,,11/14/2014,EC
20142015,Notre Dame,3,@,Merrimack,2,OT,,11/14/2014,HE
20142015,(3) Boston University,3,@,Maine,1,,,11/14/2014,HE
20142015,(10) Vermont,0,@,(16) Providence,3,,,11/14/2014,HE
20142015,Northeastern,3,@,New Hampshire,5,,,11/14/2014,HE
20142015,Colorado College,1,@,(11) Denver,8,,,11/14/2014,NT
20142015,(7) Miami,3,@,(2) North Dakota,2,,,11/14/2014,NT
20142015,(15) St. Cloud State,4,@,Western Michigan,3,,,11/14/2014,NT
20142015,(5) Michigan Tech,2,@,Bemidji State,1,,,11/14/2014,WC
20142015,Alaska-Anchorage,0,@,Ferris State,4,,,11/14/2014,WC
20142015,Lake Superior,1,@,Alabama-Huntsville,0,,,11/14/2014,WC
20142015,Ohio State,3,@,(19) Bowling Green,2,,,11/14/2014,NC
20142015,(8) Boston College,3,@,Michigan State,2,,,11/14/2014,NC
20142015,Connecticut,0,vs.,Sacred Heart,2,,,11/14/2014,NC
20142015,American International,2,@,Michigan,5,,,11/14/2014,NC
20142015,Penn State,3,@,(4) Massachusetts-Lowell,5,,,11/14/2014,NC
20142015,(13) Minnesota-Duluth,3,@,(1) Minnesota,0,,,11/14/2014,NC
20142015,Holy Cross,0,@,Army West Point,0,OT,,11/15/2014,AH
20142015,Mercyhurst,4,@,Bentley,5,OT,,11/15/2014,AH
20142015,RIT,3,@,Canisius,0,,,11/15/2014,AH
20142015,Air Force,2,@,(17) Robert Morris,1,OT,,11/15/2014,AH
20142015,Clarkson,2,@,(6) Colgate,2,OT,,11/15/2014,EC
20142015,St. Lawrence,4,@,Cornell,2,,,11/15/2014,EC
20142015,Brown,0,@,Dartmouth,6,,,11/15/2014,EC
20142015,Yale,2,@,Harvard,1,,,11/15/2014,EC
20142015,(20) Quinnipiac,3,@,Rensselaer,1,,,11/15/2014,EC
20142015,Princeton,1,@,(12) Union,6,,,11/15/2014,EC
20142015,Notre Dame,1,@,Merrimack,4,,,11/15/2014,HE
20142015,New Hampshire,1,@,Northeastern,2,,,11/15/2014,HE
20142015,(10) Vermont,2,@,(16) Providence,1,,,11/15/2014,HE
20142015,(7) Miami,1,@,(2) North Dakota,4,,,11/15/2014,NT
20142015,(15) St. Cloud State,1,@,Western Michigan,1,OT,"Western Michigan wins shootout, 1-0 (6 rounds)",11/15/2014,NT
20142015,(5) Michigan Tech,4,@,Bemidji State,2,,,11/15/2014,WC
20142015,Lake Superior,2,@,Alabama-Huntsville,5,,,11/15/2014,WC
20142015,(19) Bowling Green,3,@,Ohio State,2,,,11/15/2014,NC
20142015,American International,3,@,Michigan,6,,,11/15/2014,NC
20142015,(1) Minnesota,1,@,(13) Minnesota-Duluth,2,,,11/15/2014,NC
20142015,Penn State,4,@,(4) Massachusetts-Lowell,1,,,11/15/2014,NC
20142015,Harvard,2,@,Dartmouth,0,,,11/18/2014,EC
20142015,Rensselaer,1,@,Connecticut,1,OT,,11/18/2014,NC
20142015,Michigan State,3,@,Ohio State,1,,,11/20/2014,B10
20142015,(5) Massachusetts-Lowell,3,@,Notre Dame,1,,,11/20/2014,HE
20142015,(20) Robert Morris,5,@,American International,5,OT,,11/21/2014,AH
20142015,Army West Point,1,@,Niagara,3,,,11/21/2014,AH
