"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
876,"20162017","Miami",1,"NCHC","Away","Loss","St. Cloud State",3,"NCHC"
877,"20162017","Nebraska-Omaha",6,"NCHC","Home","Win","Western Michigan",3,"NCHC"
877,"20162017","Western Michigan",3,"NCHC","Away","Loss","Nebraska-Omaha",6,"NCHC"
878,"20162017","Lake Superior",4,"WCHA","Home","Tie","Alaska-Anchorage",4,"WCHA"
878,"20162017","Alaska-Anchorage",4,"WCHA","Away","Tie","Lake Superior",4,"WCHA"
879,"20162017","Michigan Tech",5,"WCHA","Home","Win","Ferris State",2,"WCHA"
879,"20162017","Ferris State",2,"WCHA","Away","Loss","Michigan Tech",5,"WCHA"
880,"20162017","Northern Michigan",2,"WCHA","Home","Win","Alaska",0,"WCHA"
880,"20162017","Alaska",0,"WCHA","Away","Loss","Northern Michigan",2,"WCHA"
881,"20162017","Alabama-Huntsville",5,"WCHA","Home","Win","Bemidji State",2,"WCHA"
881,"20162017","Bemidji State",2,"WCHA","Away","Loss","Alabama-Huntsville",5,"WCHA"
882,"20162017","Bowling Green",3,"WCHA","Home","Win","Mercyhurst",0,"Atlantic Hockey"
882,"20162017","Mercyhurst",0,"Atlantic Hockey","Away","Loss","Bowling Green",3,"WCHA"
883,"20162017","Colgate",4,"ECAC","Home","Win","Yale",2,"ECAC"
883,"20162017","Yale",2,"ECAC","Away","Loss","Colgate",4,"ECAC"
884,"20162017","Cornell",5,"ECAC","Home","Win","Brown",3,"ECAC"
884,"20162017","Brown",3,"ECAC","Away","Loss","Cornell",5,"ECAC"
885,"20162017","Boston College",2,"Hockey East","Neutral","Loss","Northeastern",4,"Hockey East"
885,"20162017","Northeastern",4,"Hockey East","Neutral","Win","Boston College",2,"Hockey East"
886,"20162017","Boston University",3,"Hockey East","Neutral","Loss","Harvard",6,"ECAC"
886,"20162017","Harvard",6,"ECAC","Neutral","Win","Boston University",3,"Hockey East"
887,"20162017","Massachusetts",0,"Hockey East","Home","Loss","Merrimack",3,"Hockey East"
887,"20162017","Merrimack",3,"Hockey East","Away","Win","Massachusetts",0,"Hockey East"
888,"20162017","Canisius",4,"Atlantic Hockey","Home","Win","Niagara",2,"Atlantic Hockey"
888,"20162017","Niagara",2,"Atlantic Hockey","Away","Loss","Canisius",4,"Atlantic Hockey"
889,"20162017","Bentley",4,"Atlantic Hockey","Home","Win","Sacred Heart",0,"Atlantic Hockey"
889,"20162017","Sacred Heart",0,"Atlantic Hockey","Away","Loss","Bentley",4,"Atlantic Hockey"
890,"20162017","Holy Cross",1,"Atlantic Hockey","Home","Loss","Army",3,"Atlantic Hockey"
890,"20162017","Army",3,"Atlantic Hockey","Away","Win","Holy Cross",1,"Atlantic Hockey"
891,"20162017","Mercyhurst",7,"Atlantic Hockey","Home","Win","Robert Morris",4,"Atlantic Hockey"
