## HomeTeam: the team playing at home;
## AwayTeam: the opponent visiting team;
## ScoreHome: the score of the home team;
## ScoreAway: the score of the visiting team;
## Date: the day in which the match was played.
HomeTeam	AwayTeam	ScoreHome	ScoreAway	Date
L.A.Clippers  	 Oklahoma	87	104	2010-03-06
SanAntonio 	 NewOrleans	102	91	2010-03-06
Denver 	 Indiana	122	114	2010-03-06
Dallas 	 Sacramento	108	100	2010-03-06
NewJersey 	 Orlando	87	97	2010-03-06
Atlanta 	 GoldenState	127	122	2010-03-06
Cleveland 	 Detroit	99	92	2010-03-06
Charlotte 	 L.A.Lakers 	98	83	2010-03-06
Washington 	 Milwaukee	74	102	2010-03-06
Toronto 	 NewYork	102	96	2010-03-06
Philadelphia 	 Boston	86	96	2010-03-06
Phoenix  	 Utah	108	116	2010-03-05
Chicago 	 Memphis	96	105	2010-03-05
Miami 	 L.A.Lakers 	114	111	2010-03-05
L.A.Clippers  	 Phoenix 	101	127	2010-03-04
Portland 	 Indiana	102	79	2010-03-04
Denver 	 Oklahoma	119	90	2010-03-04
Dallas 	 Minnesota	112	109	2010-03-04
Houston 	 Sacramento	81	84	2010-03-04
NewOrleans 	 Memphis	100	104	2010-03-04
Milwaukee 	 Washington	100	87	2010-03-04
NewJersey 	 Cleveland	92	111	2010-03-04
Boston 	 Charlotte	104	80	2010-03-04
NewYork 	 Detroit	128	104	2010-03-04
Orlando 	 GoldenState	117	90	2010-03-04
Atlanta 	 Philadelphia	112	93	2010-03-04
L.A.Lakers 	 Indiana	122	99	2010-03-03
Oklahoma 	 Sacramento	113	107	2010-03-03
Miami 	 GoldenState	110	106	2010-03-03
Detroit 	 Boston	100	105	2010-03-03
L.A.Clippers  	 Utah	108	104	2010-03-02
Phoenix  	 Denver	101	85	2010-03-02
Houston 	 Toronto	116	92	2010-03-02
NewOrleans 	 SanAntonio	92	106	2010-03-02
Memphis 	 Portland	93	103	2010-03-02
Chicago 	 Atlanta	92	116	2010-03-02
Philadelphia 	 Orlando	105	126	2010-03-02
Cleveland 	 NewYork	124	93	2010-03-02
Charlotte 	 Dallas	84	89	2010-03-02
Dallas 	 NewOrleans	108	100	2010-03-01
Sacramento 	 L.A.Clippers 	97	92	2010-03-01
Orlando 	 Miami	96	80	2010-03-01
Oklahoma 	 Toronto	119	99	2010-03-01
NewJersey 	 Washington	85	89	2010-03-01
Atlanta 	 Milwaukee	106	102	2010-03-01
L.A.Lakers 	 Denver	95	89	2010-02-28
SanAntonio 	 Phoenix 	113	110	2010-02-28
GoldenState 	 Detroit	95	88	2010-02-28
Utah 	 Houston	133	110	2010-02-28
Minnesota 	 Portland	91	110	2010-02-28
NewYork 	 Memphis	109	120	2010-02-28
Indiana 	 Chicago	100	90	2010-02-28
Miami 	 Milwaukee	71	94	2010-02-27
Boston 	 NewJersey	96	104	2010-02-27
L.A.Lakers 	 Philadelphia	99	90	2010-02-27
Sacramento 	 Utah	103	99	2010-02-27
NewOrleans 	 Orlando	100	93	2010-02-27
Phoenix  	 L.A.Clippers 	125	112	2010-02-27
Denver 	 Detroit	107	102	2010-02-27
Houston 	 SanAntonio	109	104	2010-02-27
Oklahoma 	 Minnesota	109	92	2010-02-27
Memphis 	 Charlotte	89	93	2010-02-27
Chicago 	 Portland	115	111	2010-02-27
Atlanta 	 Dallas	103	111	2010-02-27
Washington 	 NewYork	116	118	2010-02-27
Toronto 	 Cleveland	118	126	2010-02-27
GoldenState 	 Denver	112	127	2010-02-26
Boston 	 Cleveland	88	108	2010-02-26
Indiana 	 Milwaukee	110	112	2010-02-26
L.A.Clippers  	 Detroit	97	91	2010-02-25
Utah 	 Charlotte	102	93	2010-02-25
Phoenix  	 Philadelphia	106	95	2010-02-25
Dallas 	 L.A.Lakers 	101	96	2010-02-25
SanAntonio 	 Oklahoma	95	87	2010-02-25
Houston 	 Orlando	92	110	2010-02-25
Milwaukee 	 NewOrleans	115	95	2010-02-25
Chicago 	 Indiana	120	110	2010-02-25
Washington 	 Memphis	94	99	2010-02-25
Toronto 	 Portland	87	101	2010-02-25
Atlanta 	 Minnesota	98	92	2010-02-25
GoldenState 	 Philadelphia	102	110	2010-02-24
Sacramento 	 Detroit	89	101	2010-02-24
Oklahoma 	 Phoenix 	102	104	2010-02-24
Memphis 	 L.A.Lakers 	98	99	2010-02-24
Boston 	 NewYork	110	106	2010-02-24
NewJersey 	 Portland	93	102	2010-02-24
Miami 	 Minnesota	88	91	2010-02-24
Cleveland 	 NewOrleans	105	95	2010-02-24
L.A.Clippers  	 Charlotte	98	94	2010-02-23
Utah 	 Atlanta	100	105	2010-02-23
Dallas 	 Indiana	91	82	2010-02-23
NewYork 	 Milwaukee	67	83	2010-02-23
Washington 	 Chicago	101	95	2010-02-23
Portland 	 Utah	89	93	2010-02-22
GoldenState 	 Atlanta	108	104	2010-02-22
Phoenix  	 Sacramento	104	88	2010-02-22
NewOrleans 	 Houston	102	94	2010-02-22
Minnesota 	 Oklahoma	107	109	2010-02-22
NewJersey 	 Memphis	94	104	2010-02-22
Detroit 	 SanAntonio	109	101	2010-02-22
Denver 	 Boston	114	105	2010-02-21
Orlando 	 Cleveland	101	95	2010-02-21
L.A.Clippers  	 Sacramento	99	89	2010-02-21
Dallas 	 Miami	97	91	2010-02-21
Milwaukee 	 Charlotte	93	88	2010-02-21
Houston 	 Indiana	115	125	2010-02-21
Chicago 	 Philadelphia	122	90	2010-02-21
NewYork 	 Oklahoma	118	121	2010-02-21
Toronto 	 Washington	109	104	2010-02-21
Portland 	 Boston	76	96	2010-02-20
GoldenState 	 Utah	89	100	2010-02-20
Phoenix  	 Atlanta	88	80	2010-02-20
NewJersey 	 Toronto	89	106	2010-02-20
Minnesota 	 Chicago	94	100	2010-02-20
Memphis 	 Miami	87	100	2010-02-20
Orlando 	 Dallas	85	95	2010-02-20
Detroit 	 Milwaukee	85	91	2010-02-20
NewOrleans 	 Indiana	107	101	2010-02-20
Washington 	 Denver	107	97	2010-02-20
Philadelphia 	 SanAntonio	106	94	2010-02-20
Charlotte 	 Cleveland	110	93	2010-02-20
L.A.Lakers 	 Boston	86	87	2010-02-19
Cleveland 	 Denver	116	118	2010-02-19
L.A.Clippers  	 Atlanta	92	110	2010-02-18
GoldenState 	 Sacramento	130	98	2010-02-18
Dallas 	 Phoenix 	107	97	2010-02-18
Milwaukee 	 Houston	99	127	2010-02-18
NewOrleans 	 Utah	90	98	2010-02-18
NewYork 	 Chicago	109	115	2010-02-18
NewJersey 	 Miami	84	87	2010-02-18
Orlando 	 Detroit	116	91	2010-02-18
Indiana 	 SanAntonio	87	90	2010-02-18
Washington 	 Minnesota	108	99	2010-02-18
Toronto 	 Memphis	102	109	2010-02-18
L.A.Lakers 	 GoldenState	104	94	2010-02-17
Sacramento 	 Boston	92	95	2010-02-17
Portland 	 L.A.Clippers 	109	87	2010-02-17
Houston 	 Utah	95	104	2010-02-17
Oklahoma 	 Dallas	99	86	2010-02-17
Memphis 	 Phoenix 	95	109	2010-02-17
Chicago 	 NewYork	118	85	2010-02-17
Detroit 	 Minnesota	108	85	2010-02-17
Philadelphia 	 Miami	78	105	2010-02-17
Charlotte 	 NewJersey	94	103	2010-02-17
Denver 	 SanAntonio	92	111	2010-02-12
Cleveland 	 Orlando	115	106	2010-02-12
GoldenState 	 L.A.Clippers 	132	102	2010-02-11
Utah 	 L.A.Lakers 	81	96	2010-02-11
Phoenix  	 Portland	101	108	2010-02-11
Minnesota 	 Charlotte	92	93	2010-02-11
Chicago 	 Orlando	87	107	2010-02-11
NewOrleans 	 Boston	93	85	2010-02-11
NewJersey 	 Milwaukee	77	97	2010-02-11
Detroit 	 Sacramento	97	103	2010-02-11
Atlanta 	 Miami	76	94	2010-02-11
Toronto 	 Philadelphia	104	93	2010-02-11
L.A.Clippers  	 Utah	99	109	2010-02-10
Portland 	 Oklahoma	77	89	2010-02-10
Denver 	 Dallas	127	91	2010-02-10
Milwaukee 	 Detroit	81	93	2010-02-10
Memphis 	 Atlanta	94	108	2010-02-10
NewYork 	 Sacramento	114	118	2010-02-10
Miami 	 Houston	99	66	2010-02-10
Indiana 	 Chicago	101	109	2010-02-10
Cleveland 	 NewJersey	104	97	2010-02-10
Charlotte 	 Washington	94	92	2010-02-10
Philadelphia 	 Minnesota	119	97	2010-02-10
L.A.Lakers 	 SanAntonio	101	89	2010-02-09
GoldenState 	 Dallas	117	127	2010-02-09
Orlando 	 NewOrleans	123	117	2010-02-09
Boston 	 Orlando	89	96	2010-02-07
Toronto 	 Sacramento	115	104	2010-02-07
GoldenState 	 Oklahoma	95	104	2010-02-07
L.A.Clippers  	 SanAntonio	81	98	2010-02-07
Portland 	 L.A.Lakers 	82	99	2010-02-07
Utah 	 Denver	116	106	2010-02-07
Milwaukee 	 Indiana	93	81	2010-02-07
Houston 	 Philadelphia	95	102	2010-02-07
Minnesota 	 Memphis	109	102	2010-02-07
Chicago 	 Miami	95	91	2010-02-07
Detroit 	 NewJersey	99	92	2010-02-07
