"Team","Conference","Season","RPI","GP","G","GA","Sh","Sh.","ShA","SV.","PP.","PK.","SHG","SHGA","FO.","Age","Ht","Wt","SAT","SATA","CF.","USAT","USATA","FF.","ESSAT","ESSATA","ESCF.","ESUSAT","ESUSATA","ESFF.","PPSAT","PPSATA","PPCF.","PPUSAT","PPUSATA","PPFF.","CloseSAT","CloseSATA","CloseCF.","CloseUSAT","CloseUSATA","CloseFF."
"Maine",NA,20052006,0.548,42,143,95,1378,10.4,1057,0.91,21.9,88.9,3,12,NA,32.3,72.3,189.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts",NA,20052006,0.478,36,77,103,975,7.9,1219,0.916,16.2,81.1,4,6,NA,31.3,71.7,187.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts-Lowell",NA,20052006,0.483,36,104,132,1017,10.2,1213,0.891,16.7,79.7,5,1,NA,33,71.5,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mercyhurst",NA,20052006,0.506,36,150,118,1205,12.4,1269,0.907,22.5,84,14,7,NA,32.6,72.4,192.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merrimack",NA,20052006,0.435,34,64,118,800,8,1147,0.897,14.3,80.3,3,3,NA,32.3,72,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami",NA,20052006,0.57,39,122,79,1191,10.2,1087,0.927,14.8,87.3,9,6,NA,31.6,72,189.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan",NA,20052006,0.541,41,147,125,1304,11.3,1252,0.9,19.3,82.8,8,9,NA,30.9,71.8,183.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan State",NA,20052006,0.558,45,138,103,1443,9.6,1227,0.916,19.5,83.2,5,5,NA,31.6,71.3,183.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan Tech",NA,20052006,0.458,38,74,149,996,7.4,1437,0.896,11,80.1,8,9,NA,32.1,71.9,191.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota",NA,20052006,0.574,41,169,105,1575,10.7,1106,0.905,22.4,85.2,6,2,NA,31.4,71.8,183.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota-Duluth",NA,20052006,0.469,40,97,148,1232,7.9,1149,0.871,15.6,78.2,2,5,NA,31.8,72.2,185.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota State",NA,20052006,0.507,39,126,121,1202,10.5,1171,0.897,17.1,82.1,7,3,NA,32.7,72.5,187.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
