Simulation,Team,Wins,Losses,Ties,HomeWins,HomeLosses,HomeTies,AwayWins,AwayLosses,AwayTies,NeutralWins,NeutralLosses,NeutralTies,Pct,AdjPct,OppWinPct,OppOppWinPct,SOS,RPI,Pairwise,PWRank
174,Michigan State,12,22,2,8,7,1,4,11,1,0,4,0,0.3611111111111111,0.3546511627906977,0.5495068192464242,0.5244240887192818,0.5314472532668817,0.4872482306478357,21,39
174,Yale,15,15,1,9,7,1,5,7,0,1,1,0,0.5,0.48344370860927144,0.4658366570611589,0.49478234154284034,0.4866775498879696,0.48586908956829505,20,40
174,Army,15,15,6,6,8,4,9,7,2,0,0,0,0.5,0.5000000000000001,0.4710990767685814,0.48048633527505336,0.47785790289324115,0.48339342716993094,18,41
174,Merrimack,12,21,4,6,7,2,6,14,2,0,0,0,0.3783783783783784,0.3932584269662921,0.5154266435226187,0.5009950230383128,0.5050358767739185,0.47709151432201186,18,42
174,Robert Morris,18,20,3,8,8,3,8,10,0,2,2,0,0.47560975609756095,0.4729064039408867,0.49188850220254154,0.4787222631604648,0.4824088100922463,0.4800332085544064,17,43
174,American International,15,20,4,9,7,1,6,13,3,0,0,0,0.4358974358974359,0.44623655913978494,0.47977086756707543,0.48035945584879464,0.4801946511299133,0.4717051281323812,16,44
174,Bentley,13,18,6,6,7,2,7,11,4,0,0,0,0.43243243243243246,0.4505494505494506,0.4707206163379944,0.4805889901644494,0.477825845493042,0.47100674675714416,16,45
174,Holy Cross,13,16,7,8,6,5,5,10,2,0,0,0,0.4583333333333333,0.45086705202312144,0.45577357562537646,0.48204735636938995,0.47469069776106615,0.46873478632658006,16,46
174,RIT,15,20,2,6,13,1,9,7,1,0,0,0,0.43243243243243246,0.42783505154639173,0.4874146533012752,0.47818108400726694,0.48076648340958933,0.46753362544378985,14,47
174,Vermont,10,18,7,3,10,4,7,8,3,0,0,0,0.38571428571428573,0.39226519337016574,0.4768477600153189,0.49737340812275094,0.49162622665267,0.4667859683320439,12,48
174,Sacred Heart,13,22,4,3,10,3,9,12,1,1,0,0,0.38461538461538464,0.4020100502512563,0.4880675004197999,0.47850547661141696,0.4811828432777642,0.4613896450211372,11,49
174,Alabama-Huntsville,12,23,2,6,7,1,6,16,1,0,0,0,0.35135135135135137,0.36931818181818177,0.5128864520261953,0.47715707165491195,0.48716129815887127,0.4577005190736989,10,50
174,Arizona State,8,19,5,4,9,1,2,8,4,2,2,0,0.328125,0.32704402515723274,0.5010176647250635,0.49738159811983945,0.4983996967693021,0.4555607788662848,9,51
174,New Hampshire,10,20,6,6,10,2,4,9,4,0,1,0,0.3611111111111111,0.3575418994413409,0.47976732044653253,0.4897576319429959,0.48696034472398614,0.45460573340332483,8,52
174,Ferris State,13,22,1,9,7,0,4,15,1,0,0,0,0.375,0.37724550898203596,0.47546404300473566,0.4816169883645562,0.47989416366380644,0.45423199999336383,7,53
174,Niagara,11,23,4,5,9,2,6,14,2,0,0,0,0.34210526315789475,0.3548387096774194,0.48998143357086105,0.4806320463030661,0.4832498747380487,0.4511470834728914,6,54
174,Brown,8,19,4,5,9,1,3,10,3,0,0,0,0.3225806451612903,0.3223684210526316,0.4920997762017923,0.4886724962660694,0.4896321346480718,0.4478162062492118,5,55
174,Lake Superior,10,22,4,4,10,1,5,11,3,1,1,0,0.3333333333333333,0.34444444444444444,0.46341182718220697,0.4845388371983682,0.4786232743938431,0.4450785669064934,4,56
174,Alaska,11,22,3,7,9,1,4,13,2,0,0,0,0.3472222222222222,0.3468208092485549,0.4564342703401008,0.4791848726839716,0.47281470402768777,0.44131623033290457,3,57
174,St. Lawrence,9,27,2,4,10,2,4,17,0,1,0,0,0.2631578947368421,0.2677595628415301,0.4952933495735795,0.4950796977392838,0.4951395202528866,0.4382945309000475,2,58
174,Rensselaer,6,28,4,3,13,1,3,12,3,0,3,0,0.21052631578947367,0.21465968586387432,0.5169838897718169,0.48942887481288766,0.49714427900138786,0.4265231307170094,1,59
174,Alaska-Anchorage,4,26,4,1,13,3,3,13,1,0,0,0,0.17647058823529413,0.18023255813953487,0.44694050152334724,0.48067776261654666,0.47123132951045077,0.39848163666772185,0,60
175,St. Cloud State,25,9,6,16,3,2,8,4,4,1,2,0,0.7,0.6963350785340314,0.5550344715468291,0.5349474184080463,0.5405717932869054,0.579512614598687,59,1
175,Notre Dame,28,10,2,14,6,1,11,2,1,3,2,0,0.725,0.7064676616915422,0.525827009829705,0.5319821034952906,0.5302586772689267,0.5743109233745806,57,2
175,Cornell,25,6,2,15,2,0,9,2,2,1,2,0,0.7878787878787878,0.7861635220125786,0.4766947278012951,0.5032345639438227,0.49580340982391496,0.5683934378710809,57,3
175,Denver,23,10,8,13,5,3,7,4,5,3,1,0,0.6585365853658537,0.65,0.5558738418775183,0.5267871232544795,0.5349314044689303,0.5636985533516978,56,4
175,Ohio State,26,10,5,13,4,3,11,5,2,2,1,0,0.6951219512195121,0.6930693069306931,0.5114449165300095,0.5292288191397236,0.5242493264090037,0.566454321539426,55,5
175,Minnesota State,29,10,1,15,5,1,14,4,0,0,1,0,0.7375,0.73,0.5048507458530088,0.4893800081611602,0.49371181471487785,0.5527838610361584,54,6
175,Minnesota-Duluth,25,16,3,12,6,2,8,8,1,5,2,0,0.6022727272727273,0.5981308411214955,0.5560105137972894,0.5263093987274773,0.5346257109470247,0.5505019934906423,54,7
175,Providence,24,12,4,13,3,0,6,6,4,5,3,0,0.65,0.6578947368421053,0.5079233765030979,0.5063361409532903,0.5067805669072364,0.5445591093909536,52,8
175,Northeastern,23,10,5,14,4,2,7,4,3,2,2,0,0.6710526315789473,0.6612021857923498,0.48985610221081977,0.501709913366946,0.4983908462432307,0.5390936811305105,51,9
175,Boston University,22,14,4,8,6,4,10,5,0,4,3,0,0.6,0.5911330049261084,0.5424275982247324,0.5015399685256193,0.512988504841371,0.5325246298625554,50,10
175,Clarkson,22,11,6,10,3,5,9,6,1,3,2,0,0.6410256410256411,0.6387434554973822,0.5020543200731261,0.4942459379360071,0.49643228493440045,0.5320100775751458,49,11
175,Penn State,18,15,5,11,5,3,7,9,2,0,1,0,0.5394736842105263,0.5384615384615384,0.5367748599069088,0.5216139052503967,0.5258589725542201,0.5290096140310496,48,12
