Game,Season,Team,Win,Goals,Status,Opponent,OpponentGoals
169,20172018,Wisconsin,Win,4,Home,St. Lawrence,2
169,20172018,St. Lawrence,Loss,2,Away,Wisconsin,4
170,20172018,Army,Loss,1,Home,RIT,3
170,20172018,RIT,Win,3,Away,Army,1
171,20172018,Bentley,Loss,0,Home,Mercyhurst,2
171,20172018,Mercyhurst,Win,2,Away,Bentley,0
172,20172018,Canisius,Win,3,Home,Air Force,2
172,20172018,Air Force,Loss,2,Away,Canisius,3
173,20172018,Sacred Heart,Loss,2,Home,Niagara,6
173,20172018,Niagara,Win,6,Away,Sacred Heart,2
174,20172018,Penn State,Loss,2,Home,Michigan,5
174,20172018,Michigan,Win,5,Away,Penn State,2
175,20172018,Brown,Loss,2,Home,Yale,5
175,20172018,Yale,Win,5,Away,Brown,2
176,20172018,Rensselaer,Loss,2,Home,Union,4
176,20172018,Union,Win,4,Away,Rensselaer,2
177,20172018,Merrimack,Win,5,Home,Massachusetts,3
177,20172018,Massachusetts,Loss,3,Away,Merrimack,5
178,20172018,Northeastern,Win,5,Home,Massachusetts-Lowell,4
178,20172018,Massachusetts-Lowell,Loss,4,Away,Northeastern,5
179,20172018,Providence,Win,3,Home,Boston University,0
179,20172018,Boston University,Loss,0,Away,Providence,3
180,20172018,Vermont,Tie,4,Home,New Hampshire,4
180,20172018,New Hampshire,Tie,4,Away,Vermont,4
181,20172018,Colorado College,Loss,4,Home,North Dakota,6
181,20172018,North Dakota,Win,6,Away,Colorado College,4
182,20172018,Bowling Green,Tie,2,Home,Alaska,2
182,20172018,Alaska,Tie,2,Away,Bowling Green,2
183,20172018,Bemidji State,Win,3,Home,Ferris State,0
183,20172018,Ferris State,Loss,0,Away,Bemidji State,3
184,20172018,Minnesota State,Win,5,Home,Michigan Tech,3
184,20172018,Michigan Tech,Loss,3,Away,Minnesota State,5
185,20172018,Boston College,Loss,1,Home,Denver,6
185,20172018,Denver,Win,6,Away,Boston College,1
186,20172018,Colgate,Tie,1,Home,Arizona State,1
