"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20162017,"Sacred Heart",6,"@","American International",3,"","","2016-10-23","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Boston College",2,"@","Merrimack",2,"OT","","2016-10-25","HE","Tie","Tie","No","No","No","Hockey East","Hockey East"
20162017,"Massachusetts",2,"@","Quinnipiac",3,"","","2016-10-25","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Connecticut",4,"@","Notre Dame",2,"","","2016-10-27","HE","Loss","Win","No","No","No","Hockey East","Hockey East"
20162017,"RIT",4,"@","Bentley",1,"","","2016-10-28","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"American International",5,"@","Mercyhurst",3,"","","2016-10-28","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Army",1,"@","Robert Morris",2,"","","2016-10-28","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Union",4,"@","Rensselaer",1,"","","2016-10-28","EC","Loss","Win","No","No","No","ECAC","ECAC"
20162017,"Providence",1,"@","Boston College",3,"","","2016-10-28","HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20162017,"Connecticut",2,"@","Notre Dame",6,"","","2016-10-28","HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20162017,"New Hampshire",4,"@","Massachusetts",1,"","","2016-10-28","HE","Loss","Win","No","No","No","Hockey East","Hockey East"
20162017,"Western Michigan",1,"@","Denver",3,"","","2016-10-28","NT","Win","Loss","No","No","No","NCHC","NCHC"
20162017,"North Dakota",2,"@","Minnesota-Duluth",5,"","","2016-10-28","NT","Win","Loss","No","No","No","NCHC","NCHC"
20162017,"Alaska-Anchorage",1,"@","Bemidji State",2,"OT","","2016-10-28","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Alaska",2,"@","Lake Superior",3,"","","2016-10-28","WC","Win","Loss","No","No","No","WCHA","WCHA"
