"Team","Season","FOPct","WinPct"
"Brown",20172018,47.7,0.32258064516129
"Canisius",20172018,50.2,0.526315789473684
"Clarkson",20172018,54.5,0.65
"Colgate",20172018,50.5,0.5
"Colorado College",20172018,44.1,0.472972972972973
"Connecticut",20172018,53.6,0.444444444444444
"Cornell",20172018,53.2,0.787878787878788
"Dartmouth",20172018,47.4,0.485714285714286
"Denver",20172018,50.3,0.658536585365854
"Ferris State",20172018,49.7,0.381578947368421
"Harvard",20172018,52.1,0.515151515151515
"Holy Cross",20172018,53.8,0.458333333333333
"Lake Superior",20172018,47.1,0.333333333333333
"Maine",20172018,49.9,0.526315789473684
"Massachusetts",20172018,48.9,0.461538461538462
"Massachusetts-Lowell",20172018,49.8,0.472222222222222
"Mercyhurst",20172018,47.3,0.621621621621622
"Merrimack",20172018,51.2,0.378378378378378
"Miami",20172018,50.3,0.391891891891892
"Michigan",20172018,51.6,0.5875
"Michigan State",20172018,50.4,0.361111111111111
"Michigan Tech",20172018,50.3,0.556818181818182
"Minnesota",20172018,50.7,0.526315789473684
"Minnesota-Duluth",20172018,50.2,0.602272727272727
"Minnesota State",20172018,53.6,0.7375
"Nebraska-Omaha",20172018,50.6,0.5
"New Hampshire",20172018,46.6,0.361111111111111
"Niagara",20172018,48.5,0.347222222222222
"North Dakota",20172018,55.5,0.55
"Northeastern",20172018,50.1,0.671052631578947
"Northern Michigan",20172018,52.1,0.616279069767442
"Notre Dame",20172018,52.5,0.725
"Ohio State",20172018,54,0.695121951219512
"Penn State",20172018,48.2,0.539473684210526
"Princeton",20172018,50.6,0.583333333333333
"Providence",20172018,51.1,0.65
"Quinnipiac",20172018,51.2,0.473684210526316
"Rensselaer",20172018,46.4,0.216216216216216
"RIT",20172018,52.5,0.432432432432432
"Robert Morris",20172018,53.8,0.475609756097561
"Sacred Heart",20172018,45.6,0.384615384615385
"St. Cloud State",20172018,55.3,0.7
"St. Lawrence",20172018,46.5,0.243243243243243
"Union",20172018,50.1,0.578947368421053
"Vermont",20172018,48.7,0.364864864864865
"Western Michigan",20172018,47.7,0.444444444444444
"Wisconsin",20172018,47,0.432432432432432
"Yale",20172018,50.8,0.5
