"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
28,"Kurt Gosselin","SO","D","Brighton, Michigan","Alabama-Huntsville","brighton michigan","Alabama-Huntsville: 28 Kurt Gosselin - Brighton, Michigan (SO-D)"
30,"Matt Larose","SR","G","Nainaimo, British Columbia","Alabama-Huntsville","nainaimo british columbia","Alabama-Huntsville: 30 Matt Larose - Nainaimo, British Columbia (SR-G)"
32,"Jordan Uhelski","JR","G","Flint, Michigan","Alabama-Huntsville","flint michigan","Alabama-Huntsville: 32 Jordan Uhelski - Flint, Michigan (JR-G)"
33,"Richard Buri","JR","D","Nitra, Slovakia","Alabama-Huntsville","nitra slovakia","Alabama-Huntsville: 33 Richard Buri - Nitra, Slovakia (JR-D)"
35,"Carmine Guerriero","SR","G","Montr<U+FFFD>al, Quebec","Alabama-Huntsville","montr<U+FFFD>al quebec","Alabama-Huntsville: 35 Carmine Guerriero - Montr<U+FFFD>al, Quebec (SR-G)"
41,"Brandon Carlson","SR","D","Huntington Beach, California","Alabama-Huntsville","huntington beach california","Alabama-Huntsville: 41 Brandon Carlson - Huntington Beach, California (SR-D)"
1,"Niko DellaMaggiore","FR","G","Gilroy, California","Alaska","gilroy california","Alaska: 01 Niko DellaMaggiore - Gilroy, California (FR-G)"
2,"Jack Weiss","SO","D","Bloomington, Minnesota","Alaska","bloomington minnesota","Alaska: 02 Jack Weiss - Bloomington, Minnesota (SO-D)"
5,"Nikolas Koberstein","SO","D","Barrhead, Alberta","Alaska","barrhead alberta","Alaska: 05 Nikolas Koberstein - Barrhead, Alberta (SO-D)"
6,"Zach Frye","JR","D","Spokane, Washington","Alaska","spokane washington","Alaska: 06 Zach Frye - Spokane, Washington (JR-D)"
7,"Josh Erickson","SR","LW","Roseau, Minnesota","Alaska","roseau minnesota","Alaska: 07 Josh Erickson - Roseau, Minnesota (SR-LW)"
8,"Justin Woods","JR","D","Fairbanks, Alaska","Alaska","fairbanks alaska","Alaska: 08 Justin Woods - Fairbanks, Alaska (JR-D)"
9,"Marcus Basara","SR","RW","Port Moody, British Columbia","Alaska","port moody british columbia","Alaska: 09 Marcus Basara - Port Moody, British Columbia (SR-RW)"
10,"Danny Kiraly","FR","D","Glendale, Arizona","Alaska","glendale arizona","Alaska: 10 Danny Kiraly - Glendale, Arizona (FR-D)"
12,"Nick Hinz","JR","D","Oakdale, Minnesota","Alaska","oakdale minnesota","Alaska: 12 Nick Hinz - Oakdale, Minnesota (JR-D)"
13,"Austin Vieth","JR","C/LW","Marinette, Wisconsin","Alaska","marinette wisconsin","Alaska: 13 Austin Vieth - Marinette, Wisconsin (JR-C/LW)"
14,"Brandon Morley","SR","LW","Burnaby, British Columbia","Alaska","burnaby british columbia","Alaska: 14 Brandon Morley - Burnaby, British Columbia (SR-LW)"
15,"Troy Van Tetering","FR","LW","Carstairs, Alberta","Alaska","carstairs alberta","Alaska: 15 Troy Van Tetering - Carstairs, Alberta (FR-LW)"
16,"Tayler Munson","JR","C/RW","Fairbanks, Alaska","Alaska","fairbanks alaska","Alaska: 16 Tayler Munson - Fairbanks, Alaska (JR-C/RW)"
17,"Kyle Froese *","JR","D","Traverse City, Michigan","Alaska","traverse city michigan","Alaska: 17 Kyle Froese * - Traverse City, Michigan (JR-D)"
18,"John Mullally","SO","LW","Timberlea, Nova Scotia","Alaska","timberlea nova scotia","Alaska: 18 John Mullally - Timberlea, Nova Scotia (SO-LW)"
22,"Chad Staley","SO","C","Kennewick, Washington","Alaska","kennewick washington","Alaska: 22 Chad Staley - Kennewick, Washington (SO-C)"
23,"Ryker Leer","SO","LW","Red Deer, Alberta","Alaska","red deer alberta","Alaska: 23 Ryker Leer - Red Deer, Alberta (SO-LW)"
24,"James LaDouce","FR","D","Saginaw, Michigan","Alaska","saginaw michigan","Alaska: 24 James LaDouce - Saginaw, Michigan (FR-D)"
25,"Aaron Herdt","FR","C/LW","Moorhead, Minnesota","Alaska","moorhead minnesota","Alaska: 25 Aaron Herdt - Moorhead, Minnesota (FR-C/LW)"
26,"Tyler Cline","FR","LW","Blaine, Minnesota","Alaska","blaine minnesota","Alaska: 26 Tyler Cline - Blaine, Minnesota (FR-LW)"
27,"Colton Leiter","FR","C","Edmonton, Alberta","Alaska","edmonton alberta","Alaska: 27 Colton Leiter - Edmonton, Alberta (FR-C)"
28,"Kylar Hope","FR","RW","Lashburn, Saskatchewan","Alaska","lashburn saskatchewan","Alaska: 28 Kylar Hope - Lashburn, Saskatchewan (FR-RW)"
29,"Jesse Jenks","SO","G","Crofton, British Columbia","Alaska","crofton british columbia","Alaska: 29 Jesse Jenks - Crofton, British Columbia (SO-G)"
30,"Davis Jones","SR","G","St. Albert, Alberta","Alaska","st albert alberta","Alaska: 30 Davis Jones - St. Albert, Alberta (SR-G)"
32,"Tristan Thompson","FR","D","Canmore, Alberta","Alaska","canmore alberta","Alaska: 32 Tristan Thompson - Canmore, Alberta (FR-D)"
33,"Anton Martinsson","FR","G","Klippan, Sweden","Alaska","klippan sweden","Alaska: 33 Anton Martinsson - Klippan, Sweden (FR-G)"
37,"Jordan Burns","SO","D","Vernon, British Columbia","Alaska","vernon british columbia","Alaska: 37 Jordan Burns - Vernon, British Columbia (SO-D)"
39,"Ross Heidt","FR","RW","Red Deer, Alberta","Alaska","red deer alberta","Alaska: 39 Ross Heidt - Red Deer, Alberta (FR-RW)"
2,"Chase Van Allen","SR","D","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 02 Chase Van Allen - Anchorage, Alaska (SR-D)"
3,"Eric Roberts","SO","D","Abbotsford, British Columbia","Alaska-Anchorage","abbotsford british columbia","Alaska-Anchorage: 03 Eric Roberts - Abbotsford, British Columbia (SO-D)"
4,"Tanner Johnson","JR","D","Castlegar, British Columbia","Alaska-Anchorage","castlegar british columbia","Alaska-Anchorage: 04 Tanner Johnson - Castlegar, British Columbia (JR-D)"
6,"Jarrett Brown","JR","D","Beaumont, Alberta","Alaska-Anchorage","beaumont alberta","Alaska-Anchorage: 06 Jarrett Brown - Beaumont, Alberta (JR-D)"
7,"Nolan Nicholas","FR","D","Thunder Bay, Ontario","Alaska-Anchorage","thunder bay ontario","Alaska-Anchorage: 07 Nolan Nicholas - Thunder Bay, Ontario (FR-D)"
8,"Mason Mitchell","SO","F","Calgary, Alberta","Alaska-Anchorage","calgary alberta","Alaska-Anchorage: 08 Mason Mitchell - Calgary, Alberta (SO-F)"
10,"Nicolas Erb-Ekholm","SO","F","Malm<U+FFFD>, Sweden","Alaska-Anchorage","malm<U+FFFD> sweden","Alaska-Anchorage: 10 Nicolas Erb-Ekholm - Malm<U+FFFD>, Sweden (SO-F)"
11,"Austin Azurdia","JR","F","Wenatchee, Washington","Alaska-Anchorage","wenatchee washington","Alaska-Anchorage: 11 Austin Azurdia - Wenatchee, Washington (JR-F)"
12,"Nils Rygaard","SO","F","Norrkoping, Sweden","Alaska-Anchorage","norrkoping sweden","Alaska-Anchorage: 12 Nils Rygaard - Norrkoping, Sweden (SO-F)"
13,"Dylan Hubbs","SR","F","Beaumont, Alberta","Alaska-Anchorage","beaumont alberta","Alaska-Anchorage: 13 Dylan Hubbs - Beaumont, Alberta (SR-F)"
15,"Mason Anderson","FR","D","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 15 Mason Anderson - Anchorage, Alaska (FR-D)"
16,"Connor Wright","SR","F","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 16 Connor Wright - Anchorage, Alaska (SR-F)"
17,"Matt Anholt","JR","F","Prince Albert, Saskatchewan","Alaska-Anchorage","prince albert saskatchewan","Alaska-Anchorage: 17 Matt Anholt - Prince Albert, Saskatchewan (JR-F)"
18,"Brad Duwe","SR","F","Soldotna, Alaska","Alaska-Anchorage","soldotna alaska","Alaska-Anchorage: 18 Brad Duwe - Soldotna, Alaska (SR-F)"
19,"Alex Jackstadt","SO","F","Anchorage, Alaska","Alaska-Anchorage","anchorage alaska","Alaska-Anchorage: 19 Alex Jackstadt - Anchorage, Alaska (SO-F)"
20,"Nathan Renouf","SO","F","Mississauga, Ontario","Alaska-Anchorage","mississauga ontario","Alaska-Anchorage: 20 Nathan Renouf - Mississauga, Ontario (SO-F)"
21,"Tad Kozun","JR","F","Nipawin, Saskatchewan","Alaska-Anchorage","nipawin saskatchewan","Alaska-Anchorage: 21 Tad Kozun - Nipawin, Saskatchewan (JR-F)"
23,"Tomi Hiekkavirta","FR","D","Helsinki, Finland","Alaska-Anchorage","helsinki finland","Alaska-Anchorage: 23 Tomi Hiekkavirta - Helsinki, Finland (FR-D)"
25,"Jonah Renouf","SO","F","Mississauga, Ontario","Alaska-Anchorage","mississauga ontario","Alaska-Anchorage: 25 Jonah Renouf - Mississauga, Ontario (SO-F)"
26,"Corey Renwick","FR","F","Nanoose Bay, British Columbia","Alaska-Anchorage","nanoose bay british columbia","Alaska-Anchorage: 26 Corey Renwick - Nanoose Bay, British Columbia (FR-F)"
27,"Jeremiah Luedtke","SO","F","Lynnwood, Washington","Alaska-Anchorage","lynnwood washington","Alaska-Anchorage: 27 Jeremiah Luedtke - Lynnwood, Washington (SO-F)"
28,"Cam Amantea","SO","F","Calgary, Alberta","Alaska-Anchorage","calgary alberta","Alaska-Anchorage: 28 Cam Amantea - Calgary, Alberta (SO-F)"
29,"Sean MacTavish","SO","F","Edmonton, Alberta","Alaska-Anchorage","edmonton alberta","Alaska-Anchorage: 29 Sean MacTavish - Edmonton, Alberta (SO-F)"
31,"Rasmus Reijola","SR","G","Espoo, Finland","Alaska-Anchorage","espoo finland","Alaska-Anchorage: 31 Rasmus Reijola - Espoo, Finland (SR-G)"
33,"Olivier Mantha","JR","G","La Tuque, Quebec","Alaska-Anchorage","la tuque quebec","Alaska-Anchorage: 33 Olivier Mantha - La Tuque, Quebec (JR-G)"
37,"David Trinkberger","FR","D","Landshut, Germany","Alaska-Anchorage","landshut germany","Alaska-Anchorage: 37 David Trinkberger - Landshut, Germany (FR-D)"
1,"Zackarias Skog","FR","G","G<U+FFFD>teborg, Sweden","American International","g<U+FFFD>teborg sweden","American International: 01 Zackarias Skog - G<U+FFFD>teborg, Sweden (FR-G)"
2,"Nicolas Luka","FR","D","Bartlett, Illinois","American International","bartlett illinois","American International: 02 Nicolas Luka - Bartlett, Illinois (FR-D)"
3,"Patrik Demel","FR","D","Ostrava, Czech Republic","American International","ostrava czech republic","American International: 03 Patrik Demel - Ostrava, Czech Republic (FR-D)"
4,"Dominic Racobaldo","SR","D","Pennsauken, New Jersey","American International","pennsauken new jersey","American International: 04 Dominic Racobaldo - Pennsauken, New Jersey (SR-D)"
5,"Ryan Polin","SO","D","Holt, Michigan","American International","holt michigan","American International: 05 Ryan Polin - Holt, Michigan (SO-D)"
7,"Daniel Mele","SR","F","Buffalo, New York","American International","buffalo new york","American International: 07 Daniel Mele - Buffalo, New York (SR-F)"
9,"Billy Vizzo","FR","F","Shelton, Connecticut","American International","shelton connecticut","American International: 09 Billy Vizzo - Shelton, Connecticut (FR-F)"
10,"Martin Mellberg","FR","F","Stockholm, Sweden","American International","stockholm sweden","American International: 10 Martin Mellberg - Stockholm, Sweden (FR-F)"
11,"Bryant Christian","JR","F","Moorhead, Minnesota","American International","moorhead minnesota","American International: 11 Bryant Christian - Moorhead, Minnesota (JR-F)"
12,"Johno May","JR","F","Mahtomedi, Minnesota","American International","mahtomedi minnesota","American International: 12 Johno May - Mahtomedi, Minnesota (JR-F)"
13,"Hugo Reinhardt","FR","F","Kungsbacka, Sweden","American International","kungsbacka sweden","American International: 13 Hugo Reinhardt - Kungsbacka, Sweden (FR-F)"
14,"Jared Pike","FR","F","Sandy, Utah","American International","sandy utah","American International: 14 Jared Pike - Sandy, Utah (FR-F)"
15,"Jackson Dudley","JR","F","Edmonton, Alberta","American International","edmonton alberta","American International: 15 Jackson Dudley - Edmonton, Alberta (JR-F)"
17,"Austin Orszulak","SR","F","Springfield, Massachusetts","American International","springfield massachusetts","American International: 17 Austin Orszulak - Springfield, Massachusetts (SR-F)"
18,"Blake Christensen","FR","F","Coral Springs, Florida","American International","coral springs florida","American International: 18 Blake Christensen - Coral Springs, Florida (FR-F)"
19,"Kyle Stephan","FR","F","Banff, Alberta","American International","banff alberta","American International: 19 Kyle Stephan - Banff, Alberta (FR-F)"
21,"Marc Dubeau","SO","F","St. Lina, Alberta","American International","st lina alberta","American International: 21 Marc Dubeau - St. Lina, Alberta (SO-F)"
22,"Dominik Florian","FR","F","Vla<U+009A>im, Czech Republic","American International","vla<U+009A>im czech republic","American International: 22 Dominik Florian - Vla<U+009A>im, Czech Republic (FR-F)"
23,"Andrew Debrincat","JR","D","Farmington Hills, Michigan","American International","farmington hills michigan","American International: 23 Andrew Debrincat - Farmington Hills, Michigan (JR-D)"
24,"Joel Kocur","FR","F","Edson, Alberta","American International","edson alberta","American International: 24 Joel Kocur - Edson, Alberta (FR-F)"
25,"Carson Grolla","SR","D","Trail, British Columbia","American International","trail british columbia","American International: 25 Carson Grolla - Trail, British Columbia (SR-D)"
26,"Johnny Mueller","SO","D","St. Louis, Missouri","American International","st louis missouri","American International: 26 Johnny Mueller - St. Louis, Missouri (SO-D)"
27,"Janis Jaks","FR","D","Lecava, Latvia","American International","lecava latvia","American International: 27 Janis Jaks - Lecava, Latvia (FR-D)"
28,"Hunter Leisner","SR","G","Dallas, Texas","American International","dallas texas","American International: 28 Hunter Leisner - Dallas, Texas (SR-G)"
29,"Shawn McBride","SO","F","Victoria, British Columbia","American International","victoria british columbia","American International: 29 Shawn McBride - Victoria, British Columbia (SO-F)"
30,"Justin Ketola","FR","G","Cloquet, Minnesota","American International","cloquet minnesota","American International: 30 Justin Ketola - Cloquet, Minnesota (FR-G)"
33,"Alex Murray","JR","G","Burlington, Ontario","American International","burlington ontario","American International: 33 Alex Murray - Burlington, Ontario (JR-G)"
2,"Drew Newmeyer","SR","D","Scottsdale, Arizona","Arizona State","scottsdale arizona","Arizona State: 02 Drew Newmeyer - Scottsdale, Arizona (SR-D)"
4,"Edward McGovern","JR","D","Scottsdale, Arizona","Arizona State","scottsdale arizona","Arizona State: 04 Edward McGovern - Scottsdale, Arizona (JR-D)"
7,"Georgy Gorodetsky","FR","F","Yekaterinburg, Russia","Arizona State","yekaterinburg russia","Arizona State: 07 Georgy Gorodetsky - Yekaterinburg, Russia (FR-F)"
8,"Joe Lappin","SO","F","Geneva, Illinois","Arizona State","geneva illinois","Arizona State: 08 Joe Lappin - Geneva, Illinois (SO-F)"
9,"Robbie Baillargeon","SR","F","Enfield, Connecticut","Arizona State","enfield connecticut","Arizona State: 09 Robbie Baillargeon - Enfield, Connecticut (SR-F)"
10,"Tyler Busch","FR","F","Lloydminster, Alberta","Arizona State","lloydminster alberta","Arizona State: 10 Tyler Busch - Lloydminster, Alberta (FR-F)"
11,"Jack Rowe","SO","F","Cary, Illinois","Arizona State","cary illinois","Arizona State: 11 Jack Rowe - Cary, Illinois (SO-F)"
12,"Dylan Hollman","JR","F","Red Deer, Alberta","Arizona State","red deer alberta","Arizona State: 12 Dylan Hollman - Red Deer, Alberta (JR-F)"
13,"Riley Simpson","FR","F","Edmonton, Alberta","Arizona State","edmonton alberta","Arizona State: 13 Riley Simpson - Edmonton, Alberta (FR-F)"
14,"Jake Montgomery","SO","F","Oakdale, Minnesota","Arizona State","oakdale minnesota","Arizona State: 14 Jake Montgomery - Oakdale, Minnesota (SO-F)"
15,"Wade Murphy","JR","F","Victoria, British Columbia","Arizona State","victoria british columbia","Arizona State: 15 Wade Murphy - Victoria, British Columbia (JR-F)"
16,"Ryan Belonger","SR","F","Green Bay, Wisconsin","Arizona State","green bay wisconsin","Arizona State: 16 Ryan Belonger - Green Bay, Wisconsin (SR-F)"
17,"Jordan Masters","SO","F","Rochester, New York","Arizona State","rochester new york","Arizona State: 17 Jordan Masters - Rochester, New York (SO-F)"
18,"Anthony Croston","SO","F","Phoenix, Arizona","Arizona State","phoenix arizona","Arizona State: 18 Anthony Croston - Phoenix, Arizona (SO-F)"
21,"David Norris","JR","F","Calgary, Alberta","Arizona State","calgary alberta","Arizona State: 21 David Norris - Calgary, Alberta (JR-F)"
22,"Jake Clifford","SO","D","Brecksville, Ohio","Arizona State","brecksville ohio","Arizona State: 22 Jake Clifford - Brecksville, Ohio (SO-D)"
24,"Liam McGing","SO","D","Chicago, Illinois","Arizona State","chicago illinois","Arizona State: 24 Liam McGing - Chicago, Illinois (SO-D)"
27,"Brett Gruber","FR","F","Appleton, Wisconsin","Arizona State","appleton wisconsin","Arizona State: 27 Brett Gruber - Appleton, Wisconsin (FR-F)"
28,"Steenn Pasichnuk","FR","F","Bonnyville, Alberta","Arizona State","bonnyville alberta","Arizona State: 28 Steenn Pasichnuk - Bonnyville, Alberta (FR-F)"
29,"Jakob Stridsberg","SO","D","J<U+FFFD>nkoping, Sweden","Arizona State","j<U+FFFD>nkoping sweden","Arizona State: 29 Jakob Stridsberg - J<U+FFFD>nkoping, Sweden (SO-D)"
31,"Ryland Pashovitz","SO","G","Saskatoon, Saskatchewan","Arizona State","saskatoon saskatchewan","Arizona State: 31 Ryland Pashovitz - Saskatoon, Saskatchewan (SO-G)"
32,"Louie Rowe","SO","F","East Lansing, Michigan","Arizona State","east lansing michigan","Arizona State: 32 Louie Rowe - East Lansing, Michigan (SO-F)"
35,"Joey Daccord","FR","G","Boston, Massachusetts","Arizona State","boston massachusetts","Arizona State: 35 Joey Daccord - Boston, Massachusetts (FR-G)"
38,"Robert Levin","SR","G","Highland Park, Illinois","Arizona State","highland park illinois","Arizona State: 38 Robert Levin - Highland Park, Illinois (SR-G)"
39,"Brinson Pasichnuk","FR","D","Bonnyville, Alberta","Arizona State","bonnyville alberta","Arizona State: 39 Brinson Pasichnuk - Bonnyville, Alberta (FR-D)"
44,"Joey Raats","SO","D","Las Vegas, Nevada","Arizona State","las vegas nevada","Arizona State: 44 Joey Raats - Las Vegas, Nevada (SO-D)"
47,"Nicholas Gushue","SO","D","West Vancouver, British Columbia","Arizona State","west vancouver british columbia","Arizona State: 47 Nicholas Gushue - West Vancouver, British Columbia (SO-D)"
1,"Matt Penta","SO","G","Waltham, Massachusetts","Army","waltham massachusetts","Army: 01 Matt Penta - Waltham, Massachusetts (SO-G)"
2,"Dalton MacAfee","SO","D","Needham, Massachusetts","Army","needham massachusetts","Army: 02 Dalton MacAfee - Needham, Massachusetts (SO-D)"
4,"Ryan Nick","SR","D","Plymouth, Michigan","Army","plymouth michigan","Army: 04 Ryan Nick - Plymouth, Michigan (SR-D)"
5,"Joe Shecter","JR","D","Farmington Hills, Michigan","Army","farmington hills michigan","Army: 05 Joe Shecter - Farmington Hills, Michigan (JR-D)"
6,"Nick DeCenzo","JR","F","Hibbing, Minnesota","Army","hibbing minnesota","Army: 06 Nick DeCenzo - Hibbing, Minnesota (JR-F)"
7,"Alex Wilkinson","FR","D","Raleigh, North Carolina","Army","raleigh north carolina","Army: 07 Alex Wilkinson - Raleigh, North Carolina (FR-D)"
8,"Bryan Gerstenfeld","FR","D","Fairfield, Connecticut","Army","fairfield connecticut","Army: 08 Bryan Gerstenfeld - Fairfield, Connecticut (FR-D)"
9,"Tyler Pham","JR","F","Fort Collins, Colorado","Army","fort collins colorado","Army: 09 Tyler Pham - Fort Collins, Colorado (JR-F)"
10,"Trevor Fidler","SO","F","Watertown, Massachusetts","Army","watertown massachusetts","Army: 10 Trevor Fidler - Watertown, Massachusetts (SO-F)"
11,"Dominic Franco","FR","F","Portsmouth, Rhode Island","Army","portsmouth rhode island","Army: 11 Dominic Franco - Portsmouth, Rhode Island (FR-F)"
12,"Blake Box","JR","D","Dallas, Texas","Army","dallas texas","Army: 12 Blake Box - Dallas, Texas (JR-D)"
13,"C.J. Reuschlein","SR","F","Flint, Michigan","Army","flint michigan","Army: 13 C.J. Reuschlein - Flint, Michigan (SR-F)"
14,"Brendan Soucie","FR","F","South Dennis, Massachusetts","Army","south dennis massachusetts","Army: 14 Brendan Soucie - South Dennis, Massachusetts (FR-F)"
15,"Clint Carlisle","SR","F","Dallas, Texas","Army","dallas texas","Army: 15 Clint Carlisle - Dallas, Texas (SR-F)"
16,"Brendan McGuire","JR","F","Flower Mound, Texas","Army","flower mound texas","Army: 16 Brendan McGuire - Flower Mound, Texas (JR-F)"
17,"Taylor Maruya","SO","F","Westchester, California","Army","westchester california","Army: 17 Taylor Maruya - Westchester, California (SO-F)"
18,"Zach Evancho","FR","F","Buffalo, New York","Army","buffalo new york","Army: 18 Zach Evancho - Buffalo, New York (FR-F)"
19,"Tipper Higgins","SO","F","Williston, Vermont","Army","williston vermont","Army: 19 Tipper Higgins - Williston, Vermont (SO-F)"
20,"Conor Andrle","JR","F","St. Louis Park, Minnesota","Army","st louis park minnesota","Army: 20 Conor Andrle - St. Louis Park, Minnesota (JR-F)"
21,"Garret Peterson","SR","D","Coppell, Texas","Army","coppell texas","Army: 21 Garret Peterson - Coppell, Texas (SR-D)"
22,"Ian Mansfield","SO","F","Lakewood, Colorado","Army","lakewood colorado","Army: 22 Ian Mansfield - Lakewood, Colorado (SO-F)"
25,"Nash Worden","SO","D","Kaysville, Utah","Army","kaysville utah","Army: 25 Nash Worden - Kaysville, Utah (SO-D)"
26,"Andrew Durham","FR","F","Plano, Texas","Army","plano texas","Army: 26 Andrew Durham - Plano, Texas (FR-F)"
27,"Michael Wilson","FR","F","Fond du Lac, Wisconsin","Army","fond du lac wisconsin","Army: 27 Michael Wilson - Fond du Lac, Wisconsin (FR-F)"
29,"Mike Preston","JR","D","Carmel, Indiana","Army","carmel indiana","Army: 29 Mike Preston - Carmel, Indiana (JR-D)"
