"Rk","Player","Start.Year","End.Date","Position","GP","G","A","PTS","Plus-Minus","PIM","W","L","TO","SV","GAA","Birthplace","Birth.Date","Death.Date"
"486","Bob Lemieux","1968","1968","D","19","0","1","1","0","12","","","","","","Montreal","1944-12-16",""
"487","Claude Lemieux","1984","2009","RW","1215","379","407","786","13","1777","","","","","","Buckingham","1965-07-16",""
"488","Jacques Lemieux","1968","1970","D","19","0","4","4","3","8","","","","","","Matane","1943-04-08",""
"489","Jean Lemieux","1974","1978","D","204","23","63","86","-45","39","","","","","","Noranda","1952-05-31",""
"490","Jocelyn Lemieux","1987","1998","RW","598","80","84","164","-39","740","","","","","","Mont-Laurier","1967-11-18",""
"491","Mario Lemieux*","1985","2006","C","915","690","1033","1723","115","834","","","","","","Montreal","1965-10-05",""
"492","Real Lemieux","1967","1974","LW","456","51","104","155","-73","262","","","","","","Victoriaville","1945-01-03","1975-10-24"
"493","Rich Lemieux","1972","1976","C","274","39","82","121","-95","132","","","","","","Temiscamingue","1951-04-19",""
"494","Hec Lepine","1926","1926","C","33","5","2","7","","2","","","","","","Ste-Anne-de-Bellevue","1897-12-07","1951-03-29"
"495","Pit Lepine","1926","1938","C","526","143","98","241","","392","","","","","","Ste-Anne-de-Bellevue","1901-07-30","1955-08-02"
"496","Francois Leroux","1989","1998","D","249","3","20","23","-2","577","","","","","","Ste-Adele","1970-04-18",""
"497","Gaston Leroux","1936","1936","D","2","0","0","0","","0","","","","","","Montreal","1913-01-09",""
"498","Jean-Yves Leroux","1997","2001","LW","220","16","22","38","-27","146","","","","","","Montreal","1976-06-24",""
"499","Francis Lessard","2002","2011","RW","115","1","3","4","-6","346","","","","","","Montreal","1979-05-30",""
"500","Junior Lessard","2006","2008","RW/C","27","3","1","4","-5","23","","","","","","St-Joseph-de-Beauce","1980-05-26",""
"501","Mario Lessard","1979","1984","G","240","0","6","6","0","30","92","97","39",".838","3.74","East Broughton","1954-06-25",""
"502","Kris Letang","2007","2017","D","603","87","299","386","57","438","","","","","","Montreal","1987-04-24",""
"503","Pierre-Luc Letourneau-Leblond","2009","2014","RW","41","0","3","3","-2","101","","","","","","Levis","1985-06-04",""
"504","Jean-Louis Levasseur","1980","1980","G","1","0","0","0","0","0","0","1","0","","7.00","Noranda","1949-06-16",""
"505","Normand Leveille","1982","1983","LW","75","17","25","42","17","49","","","","","","Montreal","1963-01-10",""
"506","Charles Linglet","2010","2010","LW","5","0","0","0","-5","2","","","","","","Montreal","1982-06-22",""
"507","Jacques Locas","1948","1949","RW","59","7","8","15","","66","","","","","","Pointe aux Trembles","1926-02-12",""
"508","Dave Logan","1976","1981","D","218","5","29","34","-49","470","","","","","","Montreal","1954-07-02",""
"509","Robert Logan","1987","1989","RW","42","10","5","15","6","0","","","","","","Montreal","1964-02-22",""
"510","Matthew Lombardi","2004","2013","C","536","101","161","262","6","293","","","","","","Montreal","1982-03-18",""
"511","Rod Lorrain","1936","1942","RW","179","28","39","67","","30","","","","","","Buckingham","1914-07-26","1980-10-22"
"512","Kevin Lowe","1980","1998","D","1254","84","347","431","252","1498","","","","","","Lachute","1959-04-15",""
"513","Roberto Luongo","2000","2017","G","966","0","20","20","0","46","453","365","117",".919","2.50","Montreal","1979-04-04",""
"514","Gilles Lupien","1978","1982","D","226","5","25","30","44","416","","","","","","Lachute","1954-04-20",""
"515","Maxime Macenauer","2012","2012","C","29","1","3","4","-4","18","","","","","","Laval","1989-01-04",""
"516","Don MacIver","1980","1980","D","6","0","0","0","-5","2","","","","","","Montreal","1955-05-03",""
"517","Fleming MacKell","1948","1960","C","665","149","220","369","","562","","","","","","Montreal","1929-04-30","2015-10-19"
"518","Olivier Magnan","2011","2011","D","18","0","0","0","-4","4","","","","","","Sherbrooke","1986-05-01",""
"519","John Mahaffy","1943","1944","C","37","11","25","36","","4","","","","","","Montreal","1919-07-18","2015-05-02"
"520","Jacques Mailhot","1989","1989","LW","5","0","0","0","0","33","","","","","","Shawinigan","1961-12-05",""
"521","Frank Mailley","1943","1943","D","1","0","0","0","","0","","","","","","Lachine","1916-08-01","1976"
"522","Fern Majeau","1944","1945","C/LW","56","22","24","46","","43","","","","","","Verdun","1916-05-03","1966-06-21"
"523","Cliff Malone","1952","1952","RW","3","0","0","0","","0","","","","","","Quebec City","1925-09-04","2008-10-08"
"524","Joe Malone*","1918","1924","C/LW","126","143","32","175","","57","","","","","","Quebec City","1890-02-28","1969-05-15"
"525","Steve Maltais","1990","2001","LW","120","9","18","27","-34","53","","","","","","Arvida","1969-01-25",""
"526","Tom Manastersky","1951","1951","D","6","0","0","0","","11","","","","","","Montreal","1929-03-07","2012-03-11"
"527","Jimmy Mann","1980","1988","RW","293","10","20","30","-55","895","","","","","","Montreal","1959-04-17",""
"528","Anthony Mantha","2016","2017","RW","65","17","20","37","6","33","","","","","","Longueuil","1994-09-16",""
"529","Georges Mantha","1929","1941","D/LW","488","89","102","191","","148","","","","","","Lachine","1908-11-29","1990-01-25"
"530","Sylvio Mantha*","1924","1937","D","542","63","78","141","","671","","","","","","Montreal","1902-04-14","1974-08-07"
"531","Jon Marchessault","2013","2017","C","114","31","31","62","-31","47","","","","","","Cap-Rouge","1990-12-27",""
"532","Don Marcotte","1966","1982","LW","868","230","254","484","203","317","","","","","","Asbestos","1947-04-15",""
"533","Daniel Marois","1989","1996","RW","350","117","93","210","-60","419","","","","","","Montreal","1968-10-03",""
"534","Jean Marois","1944","1954","G","3","0","0","0","","0","1","2","0","","5.00","Quebec City","1924-05-11",""
"535","Mario Marois","1978","1992","D","955","76","357","433","10","1746","","","","","","Quebec City","1957-12-15",""
"536","Gilles Marotte","1966","1977","D","808","56","265","321","-75","919","","","","","","Montreal","1945-06-07","2005-07-26"
"537","Don Marshall","1952","1972","LW","1176","265","324","589","29","127","","","","","","Montreal","1932-03-23",""
"538","Pit Martin","1962","1979","C","1101","324","485","809","127","609","","","","","","Noranda","1943-12-09","2008-11-30"
"539","Rick Martin","1972","1982","LW","685","384","317","701","15","477","","","","","","Verdun","1951-07-26","2011-03-13"
"540","Steve Martins","1996","2006","C","267","21","25","46","-36","142","","","","","","Gatineau","1972-04-13",""
"541","Michael Matheson","2016","2017","D","74","5","10","15","-5","34","","","","","","Pointe-Claire","1994-02-27",""
"542","Christian Matte","1997","2001","RW","25","2","3","5","-3","12","","","","","","Hull","1975-01-20",""
"543","Stephane Matteau","1991","2003","LW","848","144","172","316","41","742","","","","","","Rouyn-Noranda","1969-09-02",""
"544","Hazen McAndrew","1942","1942","D","7","0","1","1","","6","","","","","","Mayo","1917-08-07","1993-08-27"
"545","Bill McDonagh","1950","1950","LW","4","0","0","0","","2","","","","","","Rouyn","1928-04-30",""
"546","Jack McDonald","1918","1922","LW","69","26","14","40","","30","","","","","","Quebec City","1887-02-28","1958-01-24"
"547","Bert McInenly","1931","1936","LW/D","166","19","15","34","","144","","","","","","Quebec City","1906-05-06","1993-10-15"
"548","Randy McKay","1989","2003","RW","932","162","201","363","88","1731","","","","","","Montreal","1967-01-25",""
"549","Tony McKegney","1979","1991","LW","912","320","319","639","3","517","","","","","","Montreal","1958-02-15",""
"550","Sean McKenna","1982","1990","RW","414","82","80","162","-48","181","","","","","","Asbestos","1962-03-07",""
"551","Mike McMahon","1964","1972","D","224","15","68","83","-29","171","","","","","","Quebec City","1941-08-30","2013-04-29"
"552","George McNaughton","1920","1920","RW/C","1","0","0","0","","0","","","","","","Gaspe","1897-04-04",""
"553","Gerry McNeil","1948","1957","G","276","0","0","0","","2","119","105","52","","2.36","Quebec City","1926-04-17","2004-06-17"
"554","Gord McRae","1973","1978","G","71","0","0","0","0","6","30","22","10","","3.49","Sherbrooke","1948-04-12",""
"555","Ron Meighan","1982","1983","D","48","3","7","10","-12","18","","","","","","Montreal","1963-05-26",""
"556","Scott Mellanby","1986","2007","RW","1431","364","476","840","-36","2479","","","","","","Montreal","1966-06-11",""
"557","Eric Meloche","2002","2007","RW","74","9","11","20","-21","36","","","","","","Montreal","1976-05-01",""
"558","Gilles Meloche","1971","1988","G","788","0","22","22","0","111","270","351","131",".875","3.64","Montreal","1950-07-12",""
"559","Eric Messier","1997","2004","LW","406","25","50","75","-1","146","","","","","","Drummondville","1973-10-29",""
"560","Corrado Micalef","1982","1986","G","113","0","5","5","0","43","26","59","15",".858","4.24","Montreal","1961-04-20",""
"561","Olivier Michaud","2002","2002","G","1","0","0","0","0","0","0","0","0","1.000","0.00","Beloeil","1983-09-14",""
"562","Hib Milks","1926","1933","LW/C","317","87","41","128","","179","","","","","","Eardley","1899-04-01","1949-01-21"
"563","Torrey Mitchell","2008","2017","C","601","61","80","141","-4","321","","","","","","Greenfield Park","1985-01-30",""
"564","Sergio Momesso","1984","1997","LW","710","152","193","345","7","1557","","","","","","Montreal","1965-09-04",""
"565","Hartland Monahan","1974","1981","RW","334","61","80","141","-119","163","","","","","","Montreal","1951-03-29",""
"566","Armand Mondou","1929","1940","LW","386","47","71","118","","99","","","","","","Yamaska","1905-06-27","1976-09-13"
"567","Pierre Mondou","1978","1985","C","548","194","262","456","215","179","","","","","","Sorel","1955-11-27",""
"568","Michel Mongeau","1990","1993","C","54","6","19","25","1","10","","","","","","Montreal","1965-02-09","2010-05-22"
"569","Bob Mongrain","1980","1986","C","81","13","14","27","-1","14","","","","","","La Sarre","1959-08-31",""
"570","Jim Montgomery","1994","2003","C","122","9","25","34","-6","80","","","","","","Montreal","1969-06-30",""
"571","Dickie Moore*","1952","1968","LW","719","261","347","608","-8","652","","","","","","Montreal","1931-01-06","2015-12-19"
"572","Pete Morin","1942","1942","LW","31","10","12","22","","7","","","","","","Lachine","1915-12-08","2000-01-05"
"573","Stephane Morin","1990","1994","C","90","16","39","55","4","52","","","","","","Montreal","1969-03-27","1998-10-06"
"574","Dave Morissette","1999","2000","LW","11","0","0","0","1","57","","","","","","Baie Comeau","1971-12-24",""
"575","Jean-Guy Morissette","1964","1964","G","1","0","0","0","","0","0","1","0","","6.67","Causapscal","1937-12-16",""
"576","Joey Mormina","2008","2008","D","1","0","0","0","0","0","","","","","","Montreal","1982-06-29",""
"577","Jim Morrison","1952","1971","D","704","40","160","200","-32","542","","","","","","Montreal","1931-10-11",""
"578","Ken Mosdell","1942","1958","C","693","141","168","309","","475","","","","","","Montreal","1922-07-13","2006-01-05"
"579","Hal Murphy","1953","1953","G","1","0","0","0","","0","1","0","0","","4.00","Montreal","1927-07-06",""
"580","Rob Murphy","1988","1994","C","125","9","12","21","-54","152","","","","","","Hull","1969-04-07",""
"581","Terry Murray","1973","1982","D","302","4","76","80","-20","199","","","","","","Shawville","1950-07-20",""
"582","Phil Myre","1970","1983","G","439","0","10","10","0","101","149","198","76","","3.53","Ste-Anne-de-Bellevue","1948-11-01",""
