"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Yale",13,13,2,4,9,2,8,4,0,1,0,0,0.5,0.48993288590604,0.494206615800053,0.503812295105295,0.501122704899827,0.49832525015138
"Western Michigan",14,9,7,8,5,4,6,4,3,0,0,0,0.583333333333333,0.570469798657718,0.438265328072375,0.486580428273171,0.473052200216948,0.497406599827141
"Connecticut",12,14,6,8,6,2,4,8,4,0,0,0,0.46875,0.467532467532468,0.50217578933502,0.508752935782439,0.506911334777161,0.497066617965988
"Merrimack",10,12,7,5,6,3,5,6,4,0,0,0,0.46551724137931,0.468965517241379,0.498438053382272,0.505975764629869,0.503865205480542,0.495140283420752
"Boston University",11,13,7,8,2,5,3,9,2,0,2,0,0.467741935483871,0.461538461538462,0.519346240164266,0.495532250096311,0.502200167315338,0.492034740871119
"Quinnipiac",13,16,5,9,4,3,4,12,2,0,0,0,0.455882352941176,0.45859872611465,0.499800631331092,0.504034459106555,0.502848987329426,0.491786422025732
"Minnesota State",10,10,4,7,2,2,3,8,2,0,0,0,0.5,0.509090909090909,0.462754376878201,0.493374406997125,0.484800798563826,0.490873326195597
"Lake Superior",12,14,3,8,3,2,4,11,0,0,0,1,0.46551724137931,0.469924812030075,0.501434959151125,0.488056234759298,0.49180227758901,0.486332911199276
"Canisius",13,14,7,6,7,3,7,7,4,0,0,0,0.485294117647059,0.491228070175439,0.488282397500242,0.482560399002451,0.484162558581833,0.485928936480234
"Denver",12,10,8,8,4,4,4,6,4,0,0,0,0.533333333333333,0.527777777777778,0.436128917378917,0.484959752453911,0.471287118632913,0.485409783419129
"Maine",10,14,5,7,4,3,3,9,2,0,1,0,0.431034482758621,0.426470588235294,0.480560468107958,0.510445718413838,0.502077848328191,0.483176033304967
"Mercyhurst",12,15,7,9,5,2,3,10,5,0,0,0,0.455882352941176,0.459119496855346,0.492155086258929,0.489628844244108,0.490336192008258,0.48253201822003
"Holy Cross",13,14,7,8,6,3,5,8,4,0,0,0,0.485294117647059,0.484848484848485,0.461586526180547,0.485979495632064,0.479149464185639,0.480574219351351
"Bentley",12,16,5,3,9,3,9,7,2,0,0,0,0.439393939393939,0.450867052023121,0.496202209290466,0.48221456987189,0.486131108909092,0.477315094687599
"Dartmouth",10,15,3,8,5,1,2,10,2,0,0,0,0.410714285714286,0.403100775193798,0.511275641701061,0.49671658023488,0.500793117445411,0.476370031882508
"North Dakota",13,15,4,6,9,4,7,6,0,0,0,0,0.46875,0.451219512195122,0.47636624046685,0.485435078404077,0.482895803781654,0.474976730885021
"Nebraska-Omaha",11,11,6,7,5,4,4,6,2,0,0,0,0.5,0.485294117647059,0.462203578012402,0.474927892312765,0.471365084308663,0.474847342643262
"St. Cloud State",12,15,3,7,8,1,5,7,2,0,0,0,0.45,0.442953020134228,0.512973549257106,0.473611651072365,0.484632982564093,0.474212991956626
"American International",11,16,6,4,6,5,7,10,1,0,0,0,0.424242424242424,0.432926829268293,0.472358041096197,0.490642064356698,0.485522537843758,0.472373610699892
"Arizona State",9,15,4,3,5,2,5,10,1,1,0,1,0.392857142857143,0.412408759124088,0.467861623094556,0.497595606930759,0.489270091456622,0.470054758373489
"Bemidji State",10,16,2,8,4,1,2,12,1,0,0,0,0.392857142857143,0.388888888888889,0.490122497932955,0.480723458663879,0.483355189659221,0.459738614466638
"Niagara",10,19,5,6,9,1,4,10,4,0,0,0,0.367647058823529,0.37125748502994,0.49566085697173,0.482432712035952,0.48613659261797,0.457416815720963
"Massachusetts",6,19,7,4,7,4,2,12,3,0,0,0,0.296875,0.294117647058824,0.536010897882658,0.500324149498699,0.510316439046208,0.456266741049362
"Alaska",5,12,9,3,4,5,2,8,4,0,0,0,0.365384615384615,0.368,0.48804756302521,0.483189703676366,0.484549904294042,0.455412428220532
"Rensselaer",8,21,4,6,7,3,2,12,1,0,2,0,0.303030303030303,0.288461538461538,0.52464620594677,0.505331137547342,0.510739356699181,0.455169902139771
"Northern Michigan",7,17,5,3,8,2,4,7,2,0,2,1,0.327586206896552,0.329931972789116,0.485901675799635,0.488522686476092,0.487788803486684,0.448324595812292
"Colorado College",9,17,4,3,9,1,6,8,3,0,0,0,0.366666666666667,0.383116883116883,0.453867489243105,0.469214872056237,0.46491760486856,0.444467424430641
"Colgate",8,23,3,4,9,3,4,14,0,0,0,0,0.279411764705882,0.278787878787879,0.508059489593812,0.49517677509975,0.498783935158088,0.443784921065536
"Sacred Heart",6,24,4,3,11,2,3,13,2,0,0,0,0.235294117647059,0.238095238095238,0.493537254036147,0.480939498864655,0.484466870312672,0.422873962258314
"Miami",6,21,3,3,12,1,3,9,2,0,0,0,0.25,0.248366013071895,0.474625639429561,0.469037846185109,0.470602428293556,0.415043324488141
